Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Reliance Industries","https://scanx.trade/company/reliance-industries-ltd","1,540.80","-0.29%","1,543.35","2,32,715","20,85,083.38","21.47","12.52","1,580.90","1,115.55","-1.66%","12.14%","27.24%","33.50%","70.64%","2.38","0.36%","8.54%","8.71%","101.61","1,522.38","1,419.00","49.51","78.00%","-"
"HDFC Bank","https://scanx.trade/company/hdfc-bank-ltd","990.70","-0.09%","991.85","6,62,628","15,21,749.67","20.32","9.55","1,020.35","812.13","-1.62%","4.23%","11.40%","20.75%","38.84%","2.83","1.10%","13.93%","6.38%","89.49","995.63","970.92","47.86","78.00%","-"
"Bharti Airtel","https://scanx.trade/company/bharti-airtel-ltd","2,099.85","0.87%","2,077.55","40,548","11,97,356.59","26.57","51.60","2,174.70","1,561.00","-0.06%","10.44%","32.17%","156.25%","311.20%","10.08","0.74%","8.11%","18.01%","21.42","2,091.31","1,925.20","50.69","78.00%","-"
"Tata Consultancy Services","https://scanx.trade/company/tcs-tata-consultancy-services-ltd","3,247.50","-0.19%","3,240.10","58,391","11,74,973.92","23.69","32.91","4,321.65","2,867.55","3.44%","12.12%","-21.92%","-0.67%","10.81%","11.13","3.87%","50.48%","62.02%","131.54","3,141.71","3,249.08","55.34","78.00%","-"
"ICICI Bank","https://scanx.trade/company/icici-bank-ltd","1,342.15","-0.08%","1,339.50","2,78,304","9,58,721.37","16.86","9.55","1,494.10","1,187.00","-3.35%","-0.36%","3.73%","48.03%","153.74%","2.92","0.82%","16.67%","6.13%","64.38","1,368.28","1,396.04","38.50","78.00%","-"
"State Bank of India","https://scanx.trade/company/state-bank-of-india-ltd","973.30","0.88%","963.55","3,40,615","8,98,416.01","10.62","9.71","999.10","679.65","-0.64%","11.81%","23.47%","58.96%","250.23%","1.64","1.59%","15.83%","5.57%","81.94","957.21","844.01","55.98","78.00%","-"
"Infosys","https://scanx.trade/company/infosys-ltd","1,624.40","-1.28%","1,640.00","2,30,266","6,74,839.47","23.69","32.91","1,982.55","1,307.10","4.15%","12.78%","-14.76%","7.04%","29.94%","7.02","2.68%","29.67%","35.85%","64.20","1,555.17","1,537.93","55.01","78.00%","-"
"Bajaj Finance","https://scanx.trade/company/bajaj-finance-ltd","990.00","-0.76%","995.30","2,00,455","6,16,025.70","33.43","-4.58","1,102.45","679.30","-4.59%","-0.11%","43.74%","52.12%","90.47%","6.01","0.56%","18.84%","10.98%","241.14","1,029.46","949.26","40.47","76.00%","89.17%"
"Larsen & Toubro","https://scanx.trade/company/lt-larsen-toubro-ltd","4,058.50","0.50%","4,048.30","92,850","5,58,269.40","29.04","13.76","4,139.00","2,967.65","-0.25%","10.06%","13.29%","92.29%","215.92%","5.48","0.84%","15.18%","18.71%","96.60","3,998.54","3,651.05","55.55","76.00%","-"
"Hindustan Unilever","https://scanx.trade/company/hindustan-unilever-ltd","2,292.20","0.00%","2,292.10","45,472","5,38,573.31","49.29","47.59","2,734.31","2,101.12","-5.54%","-6.73%","-0.60%","-9.23%","-2.22%","11.05","2.31%","19.99%","23.38%","43.99","2,380.13","2,382.89","40.74","78.00%","-"
"LIC of India","https://scanx.trade/company/lic-of-india-ltd","848.75","0.83%","841.75","35,396","5,36,834.18","10.42","-4.58","980.05","715.35","-5.08%","-5.15%","-6.76%","24.14%","-3.05%","3.75","1.43%","49.36%","0.87%","66.13","884.10","877.16","39.21","76.00%","-"
"Maruti Suzuki","https://scanx.trade/company/maruti-suzuki-ltd","16,603.90","0.26%","16,598.50","42,326","5,22,030.89","35.23","39.48","16,798.80","10,749.00","4.47%","3.79%","53.71%","96.77%","122.75%","5.22","0.82%","15.75%","19.54%","467.71","16,116.46","13,904.24","60.01","78.00%","-"
"ITC","https://scanx.trade/company/itc-ltd","400.60","-0.45%","401.85","4,12,174","5,01,818.12","14.26","19.09","471.30","391.50","-0.94%","-1.44%","-11.24%","26.31%","100.17%","7.09","3.56%","27.71%","36.57%","16.36","406.68","413.10","43.99","78.00%","-"
"Mahindra & Mahindra","https://scanx.trade/company/mahindra-mahindra-ltd","3,663.50","2.00%","3,606.85","32,187","4,55,566.79","28.80","39.48","3,796.00","2,360.45","-2.51%","7.22%","22.00%","190.34%","418.18%","5.39","0.68%","15.83%","15.04%","88.80","3,650.07","3,261.34","53.07","76.00%","-"
"HCL Technologies","https://scanx.trade/company/hcl-technologies-ltd","1,621.65","-0.52%","1,630.00","1,85,251","4,40,061.50","26.05","32.91","2,011.00","1,304.00","-0.37%","16.92%","-15.93%","55.26%","73.25%","6.21","3.68%","23.01%","30.84%","60.53","1,605.65","1,564.04","45.00","76.00%","-"
"Kotak Bank","https://scanx.trade/company/kotak-mahindra-bank-ltd","2,154.65","-0.19%","2,155.00","32,026","4,28,472.09","23.12","9.55","2,301.55","1,711.05","1.44%","8.15%","23.62%","18.50%","7.73%","2.56","0.12%","13.83%","6.51%","93.78","2,135.71","2,097.65","53.03","78.00%","-"
"Sun Pharmaceutical","https://scanx.trade/company/sun-pharmaceutical-ltd","1,720.80","0.19%","1,717.15","56,376","4,12,877.56","39.30","17.47","1,910.00","1,547.25","-6.03%","8.17%","-8.58%","72.07%","191.41%","5.30","0.93%","14.38%","18.92%","43.95","1,749.97","1,696.23","39.42","78.00%","-"
"Axis Bank","https://scanx.trade/company/axis-bank-ltd","1,246.00","1.13%","1,232.05","95,426","3,86,593.90","14.64","9.55","1,304.00","934.00","-2.68%","10.10%","16.49%","33.26%","97.70%","1.93","0.08%","16.77%","6.50%","86.46","1,249.98","1,164.89","49.98","78.00%","-"
"Titan","https://scanx.trade/company/titan-ltd","3,965.95","-0.40%","3,966.35","16,689","3,52,091.55","85.61","12.57","4,030.00","2,947.55","1.46%","16.51%","21.78%","55.36%","157.49%","27.61","0.28%","37.22%","36.95%","38.91","3,842.14","3,537.75","61.93","78.00%","-"
"UltraTech Cement","https://scanx.trade/company/ultratech-cement-ltd","11,699.00","-0.84%","11,650.45","7,369","3,44,745.16","47.64","30.76","13,101.80","10,053.00","0.85%","-2.92%","3.57%","67.45%","127.44%","4.83","0.66%","11.62%","9.06%","243.84","11,764.87","11,894.22","51.48","78.00%","-"
"Bajaj Finserv","https://scanx.trade/company/bajaj-finserv-ltd","2,045.10","1.66%","2,001.60","22,286","3,26,768.78","16.70","-4.58","2,194.65","1,559.80","-2.35%","1.20%","29.77%","35.00%","127.80%","4.20","0.05%","15.03%","10.65%","52.25","2,074.51","2,012.35","48.73","76.00%","-"
"Adani Ports & SEZ","https://scanx.trade/company/adani-ports-sez-ltd","1,461.10","0.47%","1,450.00","33,277","3,15,617.90","27.99","40.63","1,548.60","1,011.00","-3.67%","5.56%","19.83%","78.25%","202.51%","4.99","0.45%","15.69%","13.60%","46.34","1,482.26","1,381.35","40.90","75.01%","-"
"NTPC","https://scanx.trade/company/ntpc-ltd","325.10","-0.12%","325.00","1,94,208","3,15,238.62","12.94","10.15","371.10","292.70","-0.46%","-4.76%","-1.87%","95.08%","229.22%","1.64","2.57%","12.31%","9.85%","22.08","328.35","337.43","51.95","76.00%","-"
"Oil & Natural Gas Corporation","https://scanx.trade/company/oil-natural-gas-corporation-ltd","234.80","-","234.70","1,31,021","2,95,384.96","6.90","-126.44","273.45","205.00","-3.47%","-2.17%","0.62%","62.04%","152.07%","0.80","5.22%","15.64%","11.31%","36.35","244.61","241.48","39.40","76.00%","-"
"Hindustan Aeronautics","https://scanx.trade/company/hal-hindustan-aeronautics-ltd","4,328.90","-1.10%","4,377.10","53,634","2,89,506.01","34.56","38.29","5,166.00","3,045.95","-4.70%","-8.70%","6.19%","245.54%","935.67%","7.89","0.91%","26.15%","17.49%","113.89","4,558.27","4,586.09","41.62","74.66%","-"
"Bharat Electronics","https://scanx.trade/company/bharat-electronics-ltd","393.55","0.04%","395.95","9,17,515","2,87,676.35","50.50","30.46","435.95","240.15","-4.37%","-1.62%","38.21%","297.73%","929.70%","13.33","0.61%","24.13%","33.72%","5.80","408.19","377.20","44.25","75.80%","-"
"Adani Power","https://scanx.trade/company/adani-power-ltd","144.70","2.88%","140.30","15,29,970","2,79,049.53","23.10","10.15","182.75","89.07","-1.90%","-1.40%","34.06%","137.64%","1,334.09%","4.64","-","48.28%","20.42%","41.44","150.50","126.29","49.90","60.00%","75.00%"
"Wipro","https://scanx.trade/company/wipro-ltd","263.80","-0.17%","255.05","2,57,943","2,76,559.65","20.45","32.91","324.55","225.05","5.75%","10.12%","-13.12%","35.05%","37.05%","3.24","2.27%","14.88%","18.97%","21.37","250.83","252.33","58.14","76.00%","-"
"JSW Steel","https://scanx.trade/company/jsw-steel-ltd","1,111.65","1.79%","1,093.45","79,882","2,71,848.89","43.97","23.17","1,223.75","879.60","-4.21%","-0.91%","23.65%","44.46%","191.43%","3.22","0.32%","11.25%","7.49%","28.47","1,143.85","1,069.42","48.59","76.00%","-"
"Eternal","https://scanx.trade/company/zomato-ltd","277.00","-2.10%","282.95","10,50,329","2,67,314.71","1,489.21","40.63","368.40","189.60","-7.71%","-14.73%","-2.09%","354.84%","120.10%","8.84","-","1.72%","2.63%","0.68","304.03","279.70","33.56","72.84%","-"
"Hindustan Zinc","https://scanx.trade/company/hindustan-zinc-ltd","625.00","1.05%","612.35","5,57,993","2,64,082.44","24.74","-96.54","656.25","378.65","28.75%","33.96%","44.18%","91.84%","160.53%","19.08","4.69%","51.06%","62.89%","19.26","511.25","464.08","75.85","58.00%","-"
"Asian Paints","https://scanx.trade/company/asian-paints-ltd","2,744.80","-1.09%","2,757.90","39,382","2,63,280.61","67.15","42.75","2,985.50","2,125.00","-4.48%","17.12%","20.05%","-11.89%","1.80%","13.60","0.89%","28.61%","23.98%","52.96","2,747.45","2,475.21","43.16","78.00%","-"
"Bajaj Auto","https://scanx.trade/company/bajaj-auto-ltd","9,286.90","2.23%","9,070.80","9,744","2,59,343.75","30.48","11.61","9,471.00","7,088.25","2.33%","6.49%","5.74%","160.07%","170.65%","7.43","2.31%","26.61%","24.90%","286.76","8,994.45","8,552.30","61.41","76.00%","-"
"Adani Enterprises","https://scanx.trade/company/adani-enterprises-ltd","2,215.10","0.55%","2,203.25","42,389","2,55,662.57","29.45","39.99","2,612.75","1,965.04","-2.89%","-8.93%","-11.90%","-40.03%","367.34%","4.70","0.06%","7.45%","10.92%","37.44","2,327.71","2,357.70","41.94","71.37%","-"
"Nestle","https://scanx.trade/company/nestle-india-ltd","1,273.90","-0.48%","1,280.00","40,884","2,45,647.96","83.66","52.35","1,310.50","1,057.50","1.08%","10.54%","17.85%","28.53%","39.46%","55.66","1.05%","117.72%","59.30%","33.58","1,260.96","1,197.28","61.11","78.00%","-"
"Coal India","https://scanx.trade/company/coal-india-ltd","397.95","-0.64%","400.45","1,23,363","2,45,245.77","7.94","-96.54","417.25","349.20","5.88%","2.45%","5.19%","79.58%","194.45%","2.34","6.62%","44.71%","24.48%","59.34","384.67","388.29","64.17","76.00%","-"
"Avenue Supermarts DMart","https://scanx.trade/company/dmart-avenue-supermarts-ltd","3,754.05","-0.89%","3,798.95","55,125","2,44,288.45","90.22","39.99","4,916.30","3,337.10","-6.04%","-17.22%","4.24%","-10.15%","40.86%","10.77","-","13.56%","16.93%","40.74","4,000.95","4,187.65","33.00","76.00%","-"
"Power Grid Corporation of India","https://scanx.trade/company/power-grid-corporation-of-india-ltd","260.30","-0.12%","260.85","2,23,344","2,42,094.72","15.95","10.15","321.75","247.50","-3.56%","-7.23%","-15.58%","60.83%","144.07%","2.45","3.45%","18.53%","12.27%","16.88","273.18","287.06","37.79","76.00%","-"
"Vedanta","https://scanx.trade/company/vedanta-ltd","605.55","2.06%","593.15","8,59,451","2,36,793.55","13.06","-96.54","616.00","362.20","15.28%","33.93%","37.50%","97.18%","278.11%","5.78","7.33%","17.92%","28.36%","13.95","527.96","464.18","77.00","75.86%","-"
"Indian Oil Corporation","https://scanx.trade/company/indian-oil-corporation-ltd","161.50","-0.31%","162.00","13,11,531","2,28,058.00","8.97","12.52","174.45","110.75","-0.15%","8.17%","19.81%","115.76%","165.63%","1.16","1.81%","22.94%","9.53%","21.83","163.89","147.43","45.63","76.00%","-"
"Tata Steel","https://scanx.trade/company/tata-steel-ltd","175.75","2.03%","172.05","13,28,691","2,19,397.99","32.14","23.17","187.00","122.60","4.71%","3.96%","28.38%","57.27%","178.13%","2.30","2.09%","-5.31%","8.15%","1.60","172.48","161.38","61.41","76.00%","-"
"SBI Life Insurance","https://scanx.trade/company/sbi-life-insurance-ltd","2,011.50","0.11%","2,017.80","6,357","2,01,647.89","82.15","-4.58","2,085.00","1,373.15","2.20%","12.44%","43.23%","59.93%","123.70%","11.01","0.13%","12.70%","0.56%","20.29","1,983.50","1,809.34","52.47","78.00%","-"
"Hindalco Industries","https://scanx.trade/company/hindalco-industries-ltd","884.20","2.19%","866.35","1,91,836","1,98,699.77","10.95","86.61","890.70","546.25","9.37%","17.19%","46.83%","88.01%","274.66%","1.44","0.57%","9.57%","12.85%","48.78","821.33","718.05","69.63","76.00%","-"
"Eicher Motors","https://scanx.trade/company/eicher-motors-ltd","7,148.00","-1.63%","7,253.50","6,354","1,96,053.91","39.03","51.72","7,373.00","4,644.10","1.31%","2.30%","47.31%","117.93%","190.52%","9.02","0.96%","22.17%","26.14%","152.70","7,053.71","6,111.63","49.49","78.00%","-"
"Interglobe Aviation","https://scanx.trade/company/indigo-interglobe-aviation-ltd","5,015.85","-1.37%","5,084.95","37,083","1,93,894.62","38.47","5.75","6,225.05","3,946.40","-15.02%","-11.72%","9.01%","148.60%","196.50%","22.77","0.20%","409.35%","15.53%","202.26","5,518.90","5,544.16","35.69","76.00%","-"
"Grasim Industries","https://scanx.trade/company/grasim-industries-ltd","2,841.80","-0.04%","2,843.05","6,864","1,93,389.33","21.56","5.40","2,978.85","2,276.10","3.73%","3.44%","16.45%","62.71%","213.62%","1.94","0.35%","7.14%","5.94%","85.43","2,798.27","2,736.51","61.43","78.00%","-"
"Hyundai Motor India","https://scanx.trade/company/hyundai-motor-india-ltd","2,299.00","-1.05%","2,315.00","44,615","1,86,803.20","33.03","39.48","2,889.65","1,542.95","-1.15%","-12.99%","28.10%","26.29%","26.29%","10.75","0.90%","-","40.99%","-","2,337.77","2,141.19","44.86","65.00%","-"
"Jio Financial Services","https://scanx.trade/company/jio-financial-services-ltd","292.55","-0.46%","293.85","2,32,490","1,85,861.16","114.36","-4.58","338.45","198.60","-4.47%","-0.70%","-4.43%","16.21%","16.21%","1.39","0.17%","1.15%","1.49%","2.50","302.86","292.82","39.99","75.00%","-"
"Shriram Finance","https://scanx.trade/company/shriram-transport-finance-company-ltd","979.15","2.49%","956.45","3,08,473","1,84,178.89","18.22","-4.58","983.35","493.60","15.15%","59.98%","67.83%","273.27%","373.13%","2.97","1.04%","14.88%","10.65%","201.17","826.47","691.04","77.54","75.03%","82.00%"
